0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:18:10 +0530] "GET /frontendp/admin/getproductform HTTP/1.1" 200 5071
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:18:10 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:18:10 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:20:22 +0530] "POST /frontendp/admin/addproduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:20:22 +0530] "GET /frontendp/all/getallproducts HTTP/1.1" 200 7288
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:20:22 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:20:22 +0530] "GET /frontendp/resources/images/4.png HTTP/1.1" 200 72631
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:20:22 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:20:22 +0530] "GET /frontendp/resources/images/5.png HTTP/1.1" 200 37420
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:20:22 +0530] "GET /frontendp/resources/images/6.png HTTP/1.1" 200 37589
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:20:22 +0530] "GET /frontendp/resources/images/2.png HTTP/1.1" 200 59092
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:20:22 +0530] "GET /frontendp/resources/images/7.png HTTP/1.1" 200 40163
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:24:36 +0530] "GET /frontendp/admin/getproductform HTTP/1.1" 200 5071
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:24:36 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:24:36 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:25:59 +0530] "POST /frontendp/admin/addproduct HTTP/1.1" 500 26302
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:26:05 +0530] "GET /frontendp/admin/getproductform HTTP/1.1" 200 5071
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:26:05 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:26:05 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:27:23 +0530] "POST /frontendp/admin/addproduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:27:23 +0530] "GET /frontendp/all/getallproducts HTTP/1.1" 200 7965
